"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume","Beta","ATR","SMA20","SMA50","SMA200","52W High","52W Low","RSI","from Open","Gap","Fwd P/E","PEG","P/S","P/B","P/C","P/FCF","EPS this Y","EPS next Y","EPS past 5Y","EPS next 5Y","Sales past 5Y","Dividend","ROA","ROE","ROI","Curr R","Quick R","LTDebt/Eq","Debt/Eq","Gross M","Oper M","Profit M","Earnings","Perf Week","Perf Month","Perf Quart","Perf Half","Perf Year","Perf YTD","Volatility W","Volatility M","Recom","Avg Volume","Rel Volume","Outstanding","Float","Insider Own","Insider Trans","Inst Own","Inst Trans","Float Short","Short Ratio"
"1","A","Agilent Technologies, Inc.","Healthcare","Diagnostics & Research","USA","29.96B","44.69","97.37","-1.42%","950,430","1.09","1.86","0.64%","5.84%","17.25%","-2.00%","59.28%","57.13","-1.10%","-0.32%","27.27","4.78","5.72","6.31","22.63","66.15","26.10%","15.01%","37.50%","9.35%","5.00%","0.74%","7.40%","14.30%","15.20%","1.60","1.20","0.38","0.52","53.70%","15.10%","13.00%","Aug 18/a","-0.42%","4.86%","19.34%","13.46%","39.92%","14.14%","1.67%","1.83%","2.40","1.73M","0.55","309.00M","307.66M","0.40%","-11.47%","89.80%","0.02%","1.34%","2.38"
"2","AAP","Advance Auto Parts, Inc.","Consumer Cyclical","Specialty Retail","USA","10.95B","28.92","158.66","1.71%","1,126,327","1.37","3.55","5.67%","9.39%","15.01%","-7.45%","122.44%","68.51","2.29%","-0.56%","18.69","3.86","1.16","3.10","8.56","31.17","21.10%","29.17%","0.40%","7.50%","-0.30%","0.63%","3.40%","10.90%","12.30%","1.40","0.40","0.35","0.49","43.70%","5.80%","4.10%","Aug 18/b","4.40%","9.16%","25.86%","18.77%","15.39%","-0.94%","2.05%","2.13%","2.30","937.08K","1.20","69.18M","68.85M","0.40%","2.40%","-","1.63%","3.74%","2.75"
"3","AAPL","Apple Inc.","Technology","Consumer Electronics","USA","2014.55B","34.93","459.63","-0.09%","40,810,399","1.23","12.68","11.36%","20.56%","48.31%","-0.98%","130.19%","71.24","0.19%","-0.28%","29.57","2.80","7.36","27.42","21.66","34.94","-2.60%","19.60%","13.00%","12.46%","7.30%","0.71%","17.70%","70.70%","26.90%","1.50","1.40","1.31","1.57","38.20%","24.50%","21.30%","Jul 30/a","3.42%","19.05%","49.37%","41.45%","127.83%","56.52%","2.56%","2.74%","2.20","36.83M","1.11","4.31B","4.27B","0.07%","-3.20%","62.70%","-0.24%","0.82%","0.96"
"4","ABB","ABB Ltd","Industrials","Specialty Industrial Machinery","Switzerland","56.61B","39.31","26.14","-1.13%","938,859","1.18","0.44","1.46%","9.64%","20.55%","-1.95%","77.70%","61.81","-0.34%","-0.79%","24.20","2.69","2.15","4.59","12.44","40.84","-27.90%","66.20%","-15.30%","14.60%","-6.80%","3.18%","3.30%","12.20%","5.20%","1.20","1.00","0.51","1.04","31.60%","8.20%","5.80%","Jul 22/b","0.58%","5.19%","48.02%","8.06%","43.23%","8.51%","1.12%","1.27%","2.50","2.21M","0.43","2.13B","1.91B","-","-","4.10%","-1.11%","0.32%","2.79"
"5","ABBV","AbbVie Inc.","Healthcare","Drug Manufacturers - General","USA","167.15B","20.91","95.07","0.41%","5,487,013","0.74","1.81","-0.80%","-1.35%","7.77%","-6.13%","51.99%","48.30","-0.33%","0.74%","7.87","2.53","4.61","10.65","27.67","22.55","42.30%","15.57%","36.80%","8.27%","10.80%","4.96%","7.10%","-303.40%","21.20%","0.90","0.70","5.58","5.94","73.30%","30.20%","19.10%","Jul 31/b","2.31%","-4.85%","4.81%","1.08%","50.95%","7.38%","1.62%","1.76%","1.90","8.11M","0.68","1.76B","1.76B","0.10%","-4.83%","64.10%","2.10%","0.78%","1.69"
"6","ABC","AmerisourceBergen Corporation","Healthcare","Medical Distribution","USA","21.00B","13.71","103.75","0.99%","684,606","0.59","2.52","0.67%","2.98%","13.87%","-2.54%","43.98%","54.25","1.78%","-0.77%","12.39","1.70","0.11","5.48","6.14","23.10","-18.60%","6.32%","26.40%","8.05%","8.50%","1.62%","3.90%","47.30%","13.00%","1.00","0.60","0.94","1.07","2.60%","0.60%","0.80%","Aug 05/b","1.62%","0.98%","20.99%","9.95%","20.68%","22.03%","2.28%","2.31%","2.40","1.14M","0.60","203.65M","145.47M","0.20%","-36.77%","68.10%","1.13%","2.47%","3.14"
"7","ABEV","Ambev S.A.","Consumer Defensive","Beverages - Brewers","Brazil","38.55B","13.92","2.45","-0.81%","15,268,794","-","0.11","-8.33%","-8.82%","-24.02%","-48.38%","28.95%","38.62","-1.21%","0.40%","18.85","-","-","2.48","-","-","-47.40%","30.00%","39.83%","-8.20%","-","4.90%","-","-","-","-","-","-","-","-","-","-","-","-0.41%","-7.55%","21.29%","-35.36%","-45.85%","-47.42%","3.50%","4.00%","3.00","36.77M","0.42","15.73B","4.39B","-","-","8.30%","-","1.22%","1.46"
"8","ABMD","Abiomed, Inc.","Healthcare","Medical Devices","USA","14.03B","69.41","307.35","-0.33%","263,625","1.18","9.32","2.24%","12.82%","52.52%","-3.71%","158.26%","60.83","-0.04%","-0.29%","60.09","2.89","16.69","12.99","31.66","54.66","-21.00%","38.77%","10.80%","24.00%","29.60%","-","21.00%","23.90%","17.90%","4.80","4.10","0.00","0.00","82.00%","30.50%","29.20%","Aug 06/b","-1.12%","12.57%","66.21%","83.80%","60.03%","80.17%","2.91%","3.09%","2.30","427.09K","0.62","45.04M","43.96M","1.40%","-4.63%","98.80%","0.69%","5.53%","5.70"
"9","ABT","Abbott Laboratories","Healthcare","Medical Devices","USA","177.94B","57.83","99.99","-1.10%","2,717,103","0.94","2.06","-0.39%","5.34%","13.34%","-2.82%","62.30%","54.47","-0.93%","-0.17%","25.68","5.01","5.66","5.80","35.33","82.88","45.20%","20.01%","12.40%","11.53%","9.50%","1.44%","4.60%","10.10%","8.20%","1.60","1.10","0.59","0.64","57.70%","12.80%","9.90%","Jul 16/b","-1.22%","3.72%","11.24%","11.52%","19.12%","15.12%","1.55%","1.86%","2.00","5.64M","0.48","1.77B","1.76B","0.70%","-2.13%","76.30%","0.22%","0.58%","1.80"
"10","ACGL","Arch Capital Group Ltd.","Financial","Insurance - Diversified","Bermuda","12.62B","11.87","32.25","-0.34%","764,717","0.76","0.96","3.47%","5.91%","-8.08%","-33.26%","54.09%","59.29","0.66%","-0.99%","12.36","5.18","1.73","1.16","14.77","4.82","124.20%","150.00%","14.10%","2.29%","11.20%","-","2.90%","10.40%","13.10%","-","-","0.29","0.29","-","18.50%","15.40%","Jul 29/a","-0.74%","4.64%","40.34%","-32.36%","-17.12%","-24.81%","2.44%","2.85%","2.20","2.20M","0.35","402.50M","394.09M","1.40%","-4.56%","88.50%","-0.10%","0.86%","1.53"
